Store,Dept,Date,IsHoliday,Weekly_Pred
1,1,2011-03-04,False,18593.768834348826
1,1,2011-03-11,False,17926.130577520526
1,1,2011-03-18,False,18535.516230115725
1,1,2011-03-25,False,21008.388467760815
1,1,2011-04-01,False,54652.23950472387
1,1,2011-04-08,False,42694.35294879327
1,1,2011-04-15,False,14026.008222336939
1,1,2011-04-22,False,13151.109655182867
1,1,2011-04-29,False,13883.593600229418
1,2,2011-03-04,False,49081.71645107709
1,2,2011-03-11,False,45661.241435948825
1,2,2011-03-18,False,44842.51448617044
1,2,2011-03-25,False,43418.2399573527
1,2,2011-04-01,False,47252.322782135634
1,2,2011-04-08,False,45534.914249084024
1,2,2011-04-15,False,47449.48435524089
1,2,2011-04-22,False,45915.72850078421
1,2,2011-04-29,False,45978.00732942258
1,3,2011-03-04,False,10363.293803986455
1,3,2011-03-11,False,9777.048900368916
1,3,2011-03-18,False,8821.934005029327
1,3,2011-03-25,False,9146.173435678184
1,3,2011-04-01,False,9311.611987114362
1,3,2011-04-08,False,9224.295838908003
1,3,2011-04-15,False,9432.745587763553
1,3,2011-04-22,False,9870.681405154
1,3,2011-04-29,False,8771.561542100333
1,4,2011-03-04,False,38216.808996510306
1,4,2011-03-11,False,32714.40482806748
1,4,2011-03-18,False,33609.60945342955
1,4,2011-03-25,False,31899.953941411648
1,4,2011-04-01,False,37152.040914619654
1,4,2011-04-08,False,35298.402749183435
1,4,2011-04-15,False,34147.971450854406
1,4,2011-04-22,False,33815.55340024651
1,4,2011-04-29,False,33727.435211445285
1,5,2011-03-04,False,28029.859713587823
1,5,2011-03-11,False,28129.695622599596
1,5,2011-03-18,False,28673.960419216106
1,5,2011-03-25,False,41414.16341818581
1,5,2011-04-01,False,33234.63725314001
1,5,2011-04-08,False,25284.836364504794
1,5,2011-04-15,False,18907.468716963107
1,5,2011-04-22,False,27782.198709379794
1,5,2011-04-29,False,24703.979126943188
1,6,2011-03-04,False,3159.6637076395195
1,6,2011-03-11,False,3138.9011932685603
1,6,2011-03-18,False,2596.3490644651097
1,6,2011-03-25,False,3541.602489992008
1,6,2011-04-01,False,2685.4563996004504
1,6,2011-04-08,False,2779.4756353757907
1,6,2011-04-15,False,2987.589922138453
1,6,2011-04-22,False,2610.454676179644
1,6,2011-04-29,False,2415.9360694791753
1,7,2011-03-04,False,19538.205992800402
1,7,2011-03-11,False,20821.830555969165
1,7,2011-03-18,False,24639.22086927756
1,7,2011-03-25,False,16328.666563864695
1,7,2011-04-01,False,22244.962822994115
1,7,2011-04-08,False,20872.300428421804
1,7,2011-04-15,False,19680.66262695419
1,7,2011-04-22,False,18288.934647818867
1,7,2011-04-29,False,20343.90938422324
1,8,2011-03-04,False,37642.5190180356
1,8,2011-03-11,False,33575.4425618986
1,8,2011-03-18,False,33146.626659119254
1,8,2011-03-25,False,31906.281904305084
1,8,2011-04-01,False,35597.003213604665
1,8,2011-04-08,False,32014.31406859237
1,8,2011-04-15,False,32276.80474451439
1,8,2011-04-22,False,32810.18038652021
1,8,2011-04-29,False,33690.44575395038
1,9,2011-03-04,False,25185.427199890233
1,9,2011-03-11,False,26979.280834972255
1,9,2011-03-18,False,37649.39099341757
1,9,2011-03-25,False,26752.583974535904
1,9,2011-04-01,False,30901.912742445573
1,9,2011-04-08,False,29157.996054658994
1,9,2011-04-15,False,27500.8980842385
1,9,2011-04-22,False,27218.842907147344
1,9,2011-04-29,False,30204.020657802794
1,10,2011-03-04,False,32736.326346574973
1,10,2011-03-11,False,31782.510245197376
1,10,2011-03-18,False,33283.368230843844
1,10,2011-03-25,False,28966.658115582
1,10,2011-04-01,False,32366.124930861446
1,10,2011-04-08,False,31253.593299111624
1,10,2011-04-15,False,31076.7268658878
1,10,2011-04-22,False,28662.24346816567
1,10,2011-04-29,False,29660.31693993606
1,11,2011-03-04,False,20398.73241200786
1,11,2011-03-11,False,20045.808391182672
1,11,2011-03-18,False,20255.953705012555
1,11,2011-03-25,False,18394.832403770404
1,11,2011-04-01,False,22146.038454492333
1,11,2011-04-08,False,23753.25435596424
1,11,2011-04-15,False,21058.168825779565
1,11,2011-04-22,False,18433.02788411173
1,11,2011-04-29,False,21444.729798592383
1,12,2011-03-04,False,11069.802246843761
1,12,2011-03-11,False,12513.862698907795
1,12,2011-03-18,False,14097.016896016727
1,12,2011-03-25,False,11866.161885303974
1,12,2011-04-01,False,12995.12182684156
1,12,2011-04-08,False,11276.266852854116
1,12,2011-04-15,False,11963.783640821295
1,12,2011-04-22,False,12343.050300566543
1,12,2011-04-29,False,11450.338838633446
1,13,2011-03-04,False,41822.0585132156
1,13,2011-03-11,False,35782.9053711055
