Store,Dept,Date,IsHoliday,Weekly_Pred
1,1,2011-05-06,False,18096.95012214311
1,1,2011-05-13,False,18299.033510286212
1,1,2011-05-20,False,16000.45702401848
1,1,2011-05-27,False,16022.598238038448
1,1,2011-06-03,False,17067.566343675335
1,1,2011-06-10,False,17192.504825596316
1,1,2011-06-17,False,16677.843608151274
1,1,2011-06-24,False,16591.90963603809
1,2,2011-05-06,False,48287.895569007145
1,2,2011-05-13,False,44888.37504064641
1,2,2011-05-20,False,46232.21484315093
1,2,2011-05-27,False,46830.88952232408
1,2,2011-06-03,False,48219.72717978549
1,2,2011-06-10,False,47297.32291243621
1,2,2011-06-17,False,47700.89546322147
1,2,2011-06-24,False,46012.337832866935
1,3,2011-05-06,False,9712.591342387857
1,3,2011-05-13,False,8232.585319654978
1,3,2011-05-20,False,8489.153258713943
1,3,2011-05-27,False,8471.791129560783
1,3,2011-06-03,False,8186.961616925042
1,3,2011-06-10,False,7777.044242162772
1,3,2011-06-17,False,8042.279695806346
1,3,2011-06-24,False,7428.7463724255995
1,4,2011-05-06,False,36899.444553509195
1,4,2011-05-13,False,32871.253006559986
1,4,2011-05-20,False,35277.29604403216
1,4,2011-05-27,False,35902.52618810751
1,4,2011-06-03,False,39049.09670187354
1,4,2011-06-10,False,35136.353340227695
1,4,2011-06-17,False,34871.01379424283
1,4,2011-06-24,False,33734.6586266411
1,5,2011-05-06,False,20053.21777164206
1,5,2011-05-13,False,17818.21507909845
1,5,2011-05-20,False,15361.57013702681
1,5,2011-05-27,False,16675.04030059031
1,5,2011-06-03,False,23286.23747603587
1,5,2011-06-10,False,19910.96944303418
1,5,2011-06-17,False,20566.559611835666
1,5,2011-06-24,False,18344.570269157502
1,6,2011-05-06,False,5901.576954578617
1,6,2011-05-13,False,5529.879113339921
1,6,2011-05-20,False,4313.02992520119
1,6,2011-05-27,False,4775.039210405303
1,6,2011-06-03,False,4050.6851057923486
1,6,2011-06-10,False,3881.3203076888894
1,6,2011-06-17,False,3600.5658913879743
1,6,2011-06-24,False,4043.580282940631
1,7,2011-05-06,False,20686.659807887314
1,7,2011-05-13,False,18730.38866672226
1,7,2011-05-20,False,25142.822967649125
1,7,2011-05-27,False,33393.72773306832
1,7,2011-06-03,False,42308.33055467209
1,7,2011-06-10,False,29317.956388197643
1,7,2011-06-17,False,28914.942576411333
1,7,2011-06-24,False,27922.18945431678
1,8,2011-05-06,False,35382.61385343339
1,8,2011-05-13,False,32507.92820541629
1,8,2011-05-20,False,33259.0040120913
1,8,2011-05-27,False,33485.2731829055
1,8,2011-06-03,False,35273.83594579551
1,8,2011-06-10,False,32856.15210081519
1,8,2011-06-17,False,32955.11232216073
1,8,2011-06-24,False,31594.819025709978
1,9,2011-05-06,False,28482.76338638596
1,9,2011-05-13,False,24462.93495512705
1,9,2011-05-20,False,25962.11054844116
1,9,2011-05-27,False,28668.85105685911
1,9,2011-06-03,False,35447.33175277277
1,9,2011-06-10,False,27114.875461473224
1,9,2011-06-17,False,26526.585158782174
1,9,2011-06-24,False,25259.75619543295
1,10,2011-05-06,False,32591.67259103459
1,10,2011-05-13,False,29419.798635124494
1,10,2011-05-20,False,30889.665841510785
1,10,2011-05-27,False,33336.93627140977
1,10,2011-06-03,False,34590.82095576477
1,10,2011-06-10,False,32369.72901414082
1,10,2011-06-17,False,32063.167000462567
1,10,2011-06-24,False,33322.984730884236
1,11,2011-05-06,False,32006.21456440471
1,11,2011-05-13,False,25992.750042947268
1,11,2011-05-20,False,29058.604544449856
1,11,2011-05-27,False,30327.939548395832
1,11,2011-06-03,False,38886.736289888875
1,11,2011-06-10,False,33145.14548652179
1,11,2011-06-17,False,35883.00766306955
1,11,2011-06-24,False,40187.977669582026
1,12,2011-05-06,False,13865.014218609429
1,12,2011-05-13,False,10291.113639284273
1,12,2011-05-20,False,13223.366350977098
1,12,2011-05-27,False,13095.175882444832
1,12,2011-06-03,False,13980.11830241035
1,12,2011-06-10,False,12000.577768501707
1,12,2011-06-17,False,12712.822369110187
1,12,2011-06-24,False,11348.182901076621
1,13,2011-05-06,False,38933.871765825585
1,13,2011-05-13,False,35094.009361172015
1,13,2011-05-20,False,37861.32162482167
1,13,2011-05-27,False,38379.442445008586
1,13,2011-06-03,False,42056.54968802972
1,13,2011-06-10,False,39667.42152468049
1,13,2011-06-17,False,38695.72479553967
1,13,2011-06-24,False,37770.27409270724
1,14,2011-05-06,False,13764.33472660269
1,14,2011-05-13,False,13303.982834243776
1,14,2011-05-20,False,11986.440901985254
1,14,2011-05-27,False,12744.856492808998
1,14,2011-06-03,False,13497.482511558432
1,14,2011-06-10,False,12979.859924489552
1,14,2011-06-17,False,13102.06290830821
1,14,2011-06-24,False,11830.50381485295
1,16,2011-05-06,False,52980.4989199987
1,16,2011-05-13,False,42319.63511329825
1,16,2011-05-20,False,38461.64173344633
1,16,2011-05-27,False,45647.15363873419
1,16,2011-06-03,False,51751.85424479033
1,16,2011-06-10,False,33112.98592741665
1,16,2011-06-17,False,36302.09050844045
1,16,2011-06-24,False,33091.465891289234
1,17,2011-05-06,False,8849.97007858452
1,17,2011-05-13,False,8537.947677445612
1,17,2011-05-20,False,7837.149841153544
1,17,2011-05-27,False,7550.641878147392
1,17,2011-06-03,False,8595.925339159803
1,17,2011-06-10,False,8324.698483987493
1,17,2011-06-17,False,8442.780172802755
1,17,2011-06-24,False,7395.4635064420445
1,18,2011-05-06,False,-466.4992126329933
1,18,2011-05-13,False,-482.171474308231
1,18,2011-05-20,False,-479.55223464743614
1,18,2011-05-27,False,-481.2997587945909
1,18,2011-06-10,False,-481.05079778713554
1,18,2011-06-17,False,-482.085208360212
1,19,2011-05-06,False,1159.649236336536
1,19,2011-05-13,False,1098.2545662996818
1,19,2011-05-20,False,1074.1856569273623
1,19,2011-05-27,False,872.5583832785015
1,19,2011-06-03,False,894.1818293861107
1,19,2011-06-10,False,1001.0183535194484
1,19,2011-06-17,False,932.0931238092709
1,19,2011-06-24,False,828.6531794141739
1,20,2011-05-06,False,3921.5135733542666
1,20,2011-05-13,False,3436.771363194257
1,20,2011-05-20,False,4204.485240286605
1,20,2011-05-27,False,4493.331225810496
1,20,2011-06-03,False,5887.507575727806
1,20,2011-06-10,False,4873.0792793960245
1,20,2011-06-17,False,4511.84775677339
1,20,2011-06-24,False,4512.205465547315
1,21,2011-05-06,False,7588.339520313916
1,21,2011-05-13,False,6850.394170411303
1,21,2011-05-20,False,6649.399199592554
1,21,2011-05-27,False,7182.639141409099
1,21,2011-06-03,False,7395.067715127859
1,21,2011-06-10,False,7221.324878659471
1,21,2011-06-17,False,7319.508519088523
1,21,2011-06-24,False,7426.269496117858
1,22,2011-05-06,False,6643.201209854135
1,22,2011-05-13,False,6385.329469381807
1,22,2011-05-20,False,6568.671306726731
1,22,2011-05-27,False,6468.236788046871
1,22,2011-06-03,False,6419.069605089816
1,22,2011-06-10,False,6419.670639316236
1,22,2011-06-17,False,6869.739400946103
1,22,2011-06-24,False,5844.088416121817
1,23,2011-05-06,False,22001.879958306446
1,23,2011-05-13,False,21305.610104572734
1,23,2011-05-20,False,22587.08248273447
1,23,2011-05-27,False,24204.980122338988
1,23,2011-06-03,False,28143.20662531211
1,23,2011-06-10,False,25755.942748891895
1,23,2011-06-17,False,29325.232516618686
1,23,2011-06-24,False,30349.40177397966
1,24,2011-05-06,False,5213.198177247462
1,24,2011-05-13,False,4585.935838755956
1,24,2011-05-20,False,4816.2857379274
1,24,2011-05-27,False,5712.283514028685
1,24,2011-06-03,False,5333.876659384267
1,24,2011-06-10,False,4554.79723602863
1,24,2011-06-17,False,4653.711434940379
1,24,2011-06-24,False,4223.476862367396
1,25,2011-05-06,False,12121.059201795026
1,25,2011-05-13,False,9960.1887902444
1,25,2011-05-20,False,10201.418368319399
1,25,2011-05-27,False,9959.827826739638
1,25,2011-06-03,False,11384.037164548296
1,25,2011-06-10,False,10424.629892720724
1,25,2011-06-17,False,9699.833082560333
1,25,2011-06-24,False,9530.58922533493
1,26,2011-05-06,False,6149.105204790051
1,26,2011-05-13,False,5148.889297950233
1,26,2011-05-20,False,5279.606496366358
1,26,2011-05-27,False,5359.469845665305
1,26,2011-06-03,False,5854.723547116074
1,26,2011-06-10,False,5034.288326100598
1,26,2011-06-17,False,4965.176715770423
